Combined Date,Exams,Holidays,Country,Holiday Type
2024-04-26,JEE Advanced,Not a Holiday,India,N/A
2024-05-01,No Exam,International Worker's Day,India,['Observance']
2024-05-08,No Exam,Birthday of Rabindranath,India,['Optional holiday']
2024-05-12,No Exam,Mothers' Day,India,['Observance']
2024-05-23,No Exam,Buddha Purnima/Vesak,India,['National holiday']
2024-05-25,ATMA,Not a Holiday,India,N/A
2024-06-16,No Exam,Fathers' Day,India,['Observance']
2024-06-17,No Exam,Bakrid/Eid ul-Adha,India,['National holiday']
2024-06-22,HP TET,Not a Holiday,India,N/A
2024-07-01,SSC CHSL,Not a Holiday,India,N/A
2024-07-07,No Exam,Rath Yatra,India,"['Hinduism', 'Optional holiday']"
2024-07-13,TNPSC Group 1,Not a Holiday,India,N/A
2024-07-17,No Exam,Muharram/Ashura,India,['National holiday']
2024-07-21,No Exam,Guru Purnima,India,['Observance']
2024-07-25,CSIR NET,Not a Holiday,India,N/A
2024-08-03,IBPS RRB,Not a Holiday,India,N/A
2024-08-04,UPSC CAPF (AC),Friendship Day,India,['Observance']
2024-08-15,No Exam,Independence Day,India,['National holiday']
2024-08-15,No Exam,Parsi New Year,India,['Optional holiday']
2024-08-19,No Exam,Raksha Bandhan (Rakhi),India,"['Hinduism', 'Optional holiday']"
2024-08-23,UP Police Constable,Not a Holiday,India,N/A
2024-08-24,IBPS CLERK,Not a Holiday,India,N/A
2024-08-26,No Exam,Janmashtami (Smarta),India,['Observance']
2024-08-26,No Exam,Janmashtami,India,"['National holiday', 'Hinduism']"
2024-09-01,UPSC CDS,Not a Holiday,India,N/A
2024-09-01,UPSC NDA & NA,Not a Holiday,India,N/A
2024-09-07,No Exam,Ganesh Chaturthi/Vinayaka Chaturthi,India,"['Hinduism', 'Optional holiday']"
2024-09-09,SSC CGL,Not a Holiday,India,N/A
2024-09-10,TS SET,Not a Holiday,India,N/A
2024-09-15,No Exam,Onam,India,"['Hinduism', 'Optional holiday']"
2024-09-16,No Exam,Milad un-Nabi/Id-e-Milad,India,['National holiday']
2024-09-20,UPSC IAS,Not a Holiday,India,N/A
2024-09-30,SSC MTS,Not a Holiday,India,N/A
2024-10-02,No Exam,Mahatma Gandhi Jayanti,India,['National holiday']
2024-10-03,No Exam,First Day of Sharad Navratri,India,"['Observance', 'Hinduism']"
2024-10-09,No Exam,First Day of Durga Puja Festivities,India,"['Observance', 'Hinduism']"
2024-10-10,No Exam,Maha Saptami,India,['Optional holiday']
2024-10-11,No Exam,Maha Navami,India,['Optional holiday']
2024-10-11,No Exam,Maha Ashtami,India,['Optional holiday']
2024-10-12,No Exam,Dussehra,India,"['National holiday', 'Hinduism']"
2024-10-17,No Exam,Maharishi Valmiki Jayanti,India,['Optional holiday']
2024-10-19,IBPS PO,Not a Holiday,India,N/A
2024-10-20,No Exam,Karaka Chaturthi (Karva Chauth),India,"['Hinduism', 'Optional holiday']"
2024-10-31,No Exam,Halloween,India,['Observance']
2024-10-31,No Exam,Naraka Chaturdasi,India,['Optional holiday']
2024-10-31,No Exam,Diwali/Deepavali,India,"['National holiday', 'Hinduism']"
2024-11-02,No Exam,Govardhan Puja,India,['Optional holiday']
2024-11-03,No Exam,Bhai Duj,India,"['Hinduism', 'Optional holiday']"
2024-11-05,NMAT,Not a Holiday,India,N/A
2024-11-07,No Exam,Chhat Puja (Pratihar Sashthi/Surya Sashthi),India,"['Hinduism', 'Optional holiday']"
2024-11-15,No Exam,Guru Nanak Jayanti,India,['National holiday']
2024-11-24,CAT,Guru Tegh Bahadur's Martyrdom Day,India,['Optional holiday']
2024-12-01,CLAT,Not a Holiday,India,N/A
2024-12-01,CTET,Not a Holiday,India,N/A
2024-12-24,No Exam,Christmas Eve,India,['Optional holiday']
2024-12-25,No Exam,Christmas,India,['National holiday']
2024-12-26,No Exam,First Day of Hanukkah,India,['Observance']
2024-12-28,IBSAT,Not a Holiday,India,N/A
2024-12-31,No Exam,New Year's Eve,India,['Observance']
2025-02-01,GATE,Not a Holiday,India,N/A
